_id,name,processor,clockspeed,score.singlecore,score.multicore
5f019f0d5ec1300dec25f991,Motorola Moto Z,Qualcomm Snapdragon 820,1.6,286,741
5f019f0d5ec1300dec25f992,HTC 10,Qualcomm Snapdragon 820,1.6,283,746
5f019f0d5ec1300dec25f993,Oppo F7,Mediatek MT6771 Helio P60,2,283,1284
5f019f0d5ec1300dec25f994,Asus Zenfone 5 Max,Qualcomm Snapdragon 660,1.6,283,1180
5f019f0d5ec1300dec25f995,Meizu S6,Samsung Exynos 7885 Octa,1.6,283,766
5f019f0d5ec1300dec25f996,NVIDIA SHIELD Android TV,NVIDIA Tegra X1,2,283,992
5f019f0d5ec1300dec25f997,Realme 3,Mediatek Helio P70,2,283,1116
5f019f0d5ec1300dec25f998,Oppo F9 Pro,Mediatek MT6771 Helio P60,2,283,1318
5f019f0d5ec1300dec25f999,Oppo Realme 1,Mediatek MT6771 Helio P60,2,282,1287
5f019f0d5ec1300dec25f99a,Samsung Galaxy Tab S3,Qualcomm Snapdragon 820,1.6,281,790
5f019f0d5ec1300dec25f99b,Oppo F9,Mediatek MT6771 Helio P60,2,281,1278
5f019f0d5ec1300dec25f99c,ZTE Nubia Z11,Qualcomm Snapdragon 820,1.6,277,727
5f019f0d5ec1300dec25f99d,Asus Zenpad Z10,Qualcomm Snapdragon 650,1.4,275,830
5f019f0d5ec1300dec25f99e,Xiaomi Mi Max 3,Qualcomm Snapdragon 636,1.6,275,1193
5f019f0d5ec1300dec25f99f,Realme 3,Mediatek MT6771 Helio P60,2,274,1126
5f019f0d5ec1300dec25f9a0,Xiaomi Redmi Note 5 Pro,Qualcomm Snapdragon 636,1.6,273,1097
5f019f0d5ec1300dec25f9a1,Vivo X7,Qualcomm Snapdragon 652,1.4,273,931
5f019f0d5ec1300dec25f9a2,Xiaomi Redmi Note 6 Pro,Qualcomm Snapdragon 636,1.6,273,1097
5f019f0d5ec1300dec25f9a3,Asus Zenfone Max Pro (M1),Qualcomm Snapdragon 636,1.6,272,1127
5f019f0d5ec1300dec25f9a4,Xiaomi Redmi Note 5 AI,Qualcomm Snapdragon 636,1.6,272,1130
5f019f0d5ec1300dec25f9a5,Asus ZenFone Max Pro (M1),Qualcomm Snapdragon 636,1.6,272,1151
5f019f0d5ec1300dec25f9a6,Nokia 6.1 Plus,Qualcomm Snapdragon 636,1.6,271,1184
5f019f0d5ec1300dec25f9a7,Sony Xperia X Compact,Qualcomm Snapdragon 650,1.4,269,810
5f019f0d5ec1300dec25f9a8,Samsung Galaxy S7,Qualcomm Snapdragon 820,1.6,268,709
5f019f0d5ec1300dec25f9a9,Motorola Moto G7 Power,Qualcomm Snapdragon 632,1.8,268,1097
5f019f0d5ec1300dec25f9aa,Motorola Moto G7,Qualcomm Snapdragon 632,1.8,268,1162
5f019f0d5ec1300dec25f9ab,Sony Xperia X,Qualcomm Snapdragon 650,1.4,266,710
5f019f0d5ec1300dec25f9ac,Meizu MX6,Mediatek MT6797 Helio X20,1.4,264,789
5f019f0d5ec1300dec25f9ad,Vivo X9 Plus,Qualcomm Snapdragon 653,1.4,263,1051
5f019f0d5ec1300dec25f9ae,Samsung Galaxy S7 Active,Qualcomm Snapdragon 820,1.6,262,732
5f019f0d5ec1300dec25f9af,Xiaomi Redmi Note 3,Qualcomm Snapdragon 650,1.4,261,696
5f019f0d5ec1300dec25f9b0,Sony Xperia Z4 Tablet (Wi-Fi),Qualcomm Snapdragon 810,1.6,261,723
5f019f0d5ec1300dec25f9b1,Samsung Galaxy A40,Samsung Exynos 7904,1.6,261,949
5f019f0d5ec1300dec25f9b2,Samsung Galaxy M20,Samsung Exynos 7904,1.6,261,945
5f019f0d5ec1300dec25f9b3,Samsung Galaxy Tab S2 8.0,Samsung Exynos 5433,1.4,260,846
5f019f0d5ec1300dec25f9b4,Xiaomi Redmi 7,Qualcomm Snapdragon 632,1.8,260,1016
5f019f0d5ec1300dec25f9b5,Samsung Galaxy A30s,Samsung Exynos 7904,1.6,260,948
5f019f0d5ec1300dec25f9b6,Samsung Galaxy Tab S2 9.7 (2016),Qualcomm Snapdragon 652,1.4,259,975
5f019f0d5ec1300dec25f9b7,Xiaomi MI MAX,Qualcomm Snapdragon 650,1.4,256,745
5f019f0d5ec1300dec25f9b8,Google Pixel C,NVIDIA Tegra X1,1.9,256,893
5f019f0d5ec1300dec25f9b9,LeEco Coolpad Cool1 dual,Qualcomm Snapdragon 652,1.4,256,701
5f019f0d5ec1300dec25f9ba,Samsung Galaxy A30,Samsung Exynos 7904,1.6,256,932
5f019f0d5ec1300dec25f9bb,Samsung Galaxy Tab S2 8.0,Qualcomm Snapdragon 652,1.4,255,853
5f019f0d5ec1300dec25f9bc,ZTE Nubia Z17 Mini,Qualcomm Snapdragon 652,1.4,254,694
5f019f0d5ec1300dec25f9bd,Samsung Galaxy S7 edge,Qualcomm Snapdragon 820,1.6,253,721
5f019f0d5ec1300dec25f9be,LeEco Le 2,Qualcomm Snapdragon 652,1.4,251,733
5f019f0d5ec1300dec25f9bf,Asus Zenpad Z8,Qualcomm Snapdragon 650,1.4,249,709
5f019f0d5ec1300dec25f9c0,Meizu Pro 6s,Mediatek MT6797T Helio X25,1.5,246,955
5f019f0d5ec1300dec25f9c1,Samsung Galaxy A8 (2016),Samsung Exynos 7420,1.5,246,963
5f019f0d5ec1300dec25f9c2,Samsung Galaxy S6 Active,Samsung Exynos 7420,1.5,245,965
5f019f0d5ec1300dec25f9c3,Asus Zenfone 3 Ultra,Qualcomm Snapdragon 652,1.4,245,909
5f019f0d5ec1300dec25f9c4,Samsung Galaxy S6 edge+,Samsung Exynos 7420,1.5,244,933
5f019f0d5ec1300dec25f9c5,Lenovo Yoga Tab 3 Plus,Qualcomm Snapdragon 625,1.4,244,761
5f019f0d5ec1300dec25f9c6,Smartron srt.phone,Qualcomm Snapdragon 652,1.4,243,414
5f019f0d5ec1300dec25f9c7,Samsung Galaxy S6 edge,Samsung Exynos 7420,1.5,241,916
5f019f0d5ec1300dec25f9c8,Meizu PRO 5,Samsung Exynos 7420,1.5,241,971
5f019f0d5ec1300dec25f9c9,Sony Xperia Z4,Qualcomm Snapdragon 810,1.6,240,598
5f019f0d5ec1300dec25f9ca,Samsung Galaxy A20e,Samsung Exynos 7884,1.4,235,853
5f019f0d5ec1300dec25f9cb,Samsung Galaxy S6,Samsung Exynos 7420,1.5,234,900
5f019f0d5ec1300dec25f9cc,Samsung Galaxy Note5 Duos,Samsung Exynos 7420,1.5,234,906
5f019f0d5ec1300dec25f9cd,Sony Xperia Z5 Premium Dual,Qualcomm Snapdragon 810,1.6,233,526
5f019f0d5ec1300dec25f9ce,Xiaomi Mi Note Pro,Qualcomm Snapdragon 810,1.6,232,546
5f019f0d5ec1300dec25f9cf,Samsung Galaxy A20,Samsung Exynos 7884,1.4,232,838
5f019f0d5ec1300dec25f9d0,HTC One M9,Qualcomm Snapdragon 810,1.6,229,568
5f019f0d5ec1300dec25f9d1,LG G5 SE,Qualcomm Snapdragon 652,1.4,227,684
5f019f0d5ec1300dec25f9d2,Sony Xperia Z5,Qualcomm Snapdragon 810,1.6,226,525
5f019f0d5ec1300dec25f9d3,Sony Xperia Z5 Premium,Qualcomm Snapdragon 810,1.6,225,528
5f019f0d5ec1300dec25f9d4,Samsung Galaxy A9 Pro,Qualcomm Snapdragon 652,1.4,224,825
5f019f0d5ec1300dec25f9d5,Motorola Moto X Force,Qualcomm Snapdragon 810,1.6,224,676
5f019f0d5ec1300dec25f9d6,Sony Xperia Z5 Compact,Qualcomm Snapdragon 810,1.6,223,577
5f019f0d5ec1300dec25f9d7,Motorola Moto X Style,Qualcomm Snapdragon 808,1.4,221,636
5f019f0d5ec1300dec25f9d8,Samsung Galaxy Note 5,Samsung Exynos 7420,1.5,220,918
5f019f0d5ec1300dec25f9d9,Huawei Nexus 6P,Qualcomm Snapdragon 810,1.6,217,526
5f019f0d5ec1300dec25f9da,Sony Xperia Z5 Dual,Qualcomm Snapdragon 810,1.6,217,512
5f019f0d5ec1300dec25f9db,Lenovo Yogabook YB1-X90F,Intel Atom x5-Z8550,2.4,216,737
5f019f0d5ec1300dec25f9dc,Lenovo K8 Note,Mediatek Helio X23,1.4,214,922
5f019f0d5ec1300dec25f9dd,LeEco Le Max,Qualcomm Snapdragon 810,1.6,214,565
5f019f0d5ec1300dec25f9de,Meizu Pro 6,Mediatek MT6797T Helio X25,1.5,213,824
5f019f0d5ec1300dec25f9df,Samsung Galaxy C9 Pro,Qualcomm Snapdragon 653,1.4,213,941
5f019f0d5ec1300dec25f9e0,Sony Xperia Z3+,Qualcomm Snapdragon 810,1.6,209,427
5f019f0d5ec1300dec25f9e1,NVIDIA SHIELD Tablet,NVIDIA Tegra K1,2.2,208,674
5f019f0d5ec1300dec25f9e2,OnePlus 2,Qualcomm Snapdragon 810,1.6,203,598
